age,NumberOffriends,gradyear,gender
17,0,2007,NA
17,49,2007,F
17,41,2007,F
17,36,2006,F
16,1,2008,F
18,32,2008,M
18,18,2006,M
17,0,2006,F
19,0,2006,F
17,21,2007,NA
17,0,2009,NA
17,0,2006,NA
18,29,2006,F
17,0,2006,F
16,89,2008,M
17,37,2007,F
17,89,2008,NA
15,98,2009,F
16,10,2008,F
16,0,2008,F
17,0,2008,F
18,48,2006,F
18,86,2006,F
18,93,2007,F
18,18,2007,M
16,64,2008,F
17,0,2006,F
17,12,2007,NA
17,85,2009,M
15,16,2009,F
18,36,2007,F
17,66,2007,F
16,15,2008,F
15,17,2009,M
17,39,2007,F
17,61,2007,F
17,49,2008,NA
17,92,2006,M
18,162,2006,F
17,1,2007,F
18,70,2007,M
18,21,2006,F
16,28,2009,F
17,56,2007,F
15,14,2009,F
19,28,2006,F
16,22,2008,F
16,14,2008,F
18,0,2006,F
17,1,2007,M
17,83,2007,F
14,8,2009,F
17,97,2009,NA
18,138,2006,F
17,2,2006,F
17,41,2007,F
19,8,2006,F
15,16,2009,F
17,72,2007,F
15,5,2009,F
18,24,2006,F
17,38,2007,M
18,32,2007,F
19,0,2006,F
18,12,2006,M
18,37,2006,F
16,31,2009,F
18,76,2006,F
18,28,2006,F
16,17,2008,F
18,18,2007,F
18,13,2006,M
17,55,2007,NA
17,15,2007,F
16,28,2009,F
16,9,2008,F
16,8,2008,F
17,31,2007,F
17,20,2007,F
15,26,2009,F
16,17,2008,M
16,67,2009,F
15,39,2009,F
19,12,2006,M
15,31,2009,M
18,143,2007,F
17,9,2007,F
18,29,2006,F
17,6,2007,F
18,3,2006,F
15,127,2009,F
18,18,2006,F
16,5,2008,F
18,10,2006,F
17,21,2007,F
16,141,2009,F
16,32,2009,F
17,104,2007,F
18,29,2006,F
17,23,2008,F
16,8,2008,F
16,9,2008,M
17,15,2007,F
18,242,2006,F
16,0,2008,F
16,19,2009,F
16,32,2008,F
19,0,2006,F
18,2,2006,F
18,3,2006,F
17,73,2008,F
18,57,2007,F
8,0,2006,F
18,37,2007,F
16,129,2008,F
19,0,2006,M
17,22,2007,F
106,18,2007,F
15,56,2009,F
17,87,2007,F
16,20,2009,F
17,0,2008,M
16,54,2008,F
16,18,2009,F
15,6,2009,F
18,0,2006,M
15,29,2009,F
17,13,2007,F
16,53,2008,F
18,25,2007,F
19,8,2006,F
15,67,2009,F
17,67,2007,NA
17,0,2007,F
16,84,2008,NA
17,32,2009,F
16,31,2008,F
17,25,2009,NA
17,11,2007,F
19,4,2006,F
17,0,2007,F
16,15,2008,F
15,9,2009,F
17,75,2007,F
16,1,2009,M
15,9,2009,M
17,0,2006,NA
17,56,2008,M
18,112,2006,F
17,23,2007,NA
18,40,2007,F
17,96,2007,F
17,29,2008,F
17,9,2009,F
16,46,2008,M
15,57,2009,F
18,61,2006,F
19,6,2006,F
16,3,2008,F
16,18,2008,F
17,0,2006,M
17,22,2007,M
17,23,2009,F
17,84,2008,NA
17,0,2008,F
18,64,2007,F
17,7,2007,F
17,35,2007,F
17,0,2007,M
17,0,2006,NA
17,7,2008,NA
16,77,2008,F
15,12,2009,M
17,0,2006,M
19,1,2007,F
17,144,2007,F
16,153,2008,F
15,4,2009,F
18,32,2006,F
17,20,2008,M
15,22,2009,M
17,75,2007,F
15,81,2009,F
19,26,2006,F
16,0,2008,F
16,32,2009,F
18,20,2006,F
15,0,2009,F
18,63,2006,M
17,1,2007,F
18,51,2006,M
16,62,2009,F
17,4,2008,F
17,51,2007,NA
15,27,2009,F
17,0,2007,M
18,5,2006,F
17,2,2008,F
17,27,2006,F
17,34,2007,F
15,39,2009,F
19,68,2006,M
16,14,2008,F
17,9,2008,NA
17,34,2007,F
17,3,2007,M
17,13,2008,M
16,0,2008,M
15,27,2009,F
18,16,2006,F
19,0,2006,M
17,13,2009,M
18,0,2006,F
18,50,2006,F
16,28,2009,F
16,1,2008,F
16,75,2008,F
17,49,2007,F
15,41,2009,F
17,0,2009,F
16,0,2009,M
16,15,2009,F
18,0,2006,F
17,0,2009,NA
18,16,2006,F
16,42,2009,F
17,0,2008,NA
17,18,2007,F
17,49,2007,F
17,49,2008,M
16,79,2008,F
18,0,2007,F
17,2,2007,NA
16,0,2008,F
15,17,2009,F
16,59,2008,NA
18,52,2008,F
17,2,2007,M
16,8,2008,F
17,41,2008,F
18,43,2006,F
17,14,2007,NA
18,67,2008,F
18,22,2007,M
17,11,2007,F
18,10,2006,F
15,5,2009,F
18,28,2006,F
18,19,2006,F
17,14,2007,F
17,20,2007,M
17,11,2008,NA
18,30,2007,F
106,15,2009,F
19,25,2006,F
17,0,2007,F
18,17,2006,M
18,35,2007,F
18,0,2009,F
17,2,2006,F
15,14,2009,F
18,7,2006,F
15,0,2009,M
15,22,2009,F
105,47,2009,M
17,40,2007,M
17,27,2007,F
18,64,2006,M
17,39,2007,F
18,16,2006,F
17,58,2007,F
17,2,2008,M
17,0,2007,NA
18,44,2007,M
18,60,2006,F
15,4,2009,M
17,50,2007,F
17,28,2007,F
17,2,2007,F
18,26,2006,F
17,42,2007,F
18,15,2007,M
18,1,2006,M
17,4,2006,NA
17,43,2007,F
16,10,2008,F
17,3,2007,F
16,4,2008,F
19,0,2006,F
18,64,2007,M
17,33,2006,F
17,0,2007,F
16,38,2008,F
17,49,2007,F
17,0,2007,F
16,2,2008,F
16,1,2008,F
16,588,2008,M
17,12,2007,F
16,82,2009,F
17,0,2007,M
17,30,2007,F
18,38,2006,F
18,8,2007,M
16,55,2009,F
16,0,2008,F
17,112,2008,NA
17,0,2008,F
15,50,2009,F
17,0,2009,F
16,14,2008,F
17,14,2008,F
18,0,2006,F
18,9,2006,M
16,24,2008,F
17,3,2007,F
16,4,2008,M
17,0,2008,M
18,9,2007,F
18,7,2006,F
18,60,2006,F
17,39,2007,NA
18,20,2006,F
18,9,2006,M
19,7,2006,F
15,29,2009,F
19,40,2006,M
17,5,2007,F
16,44,2008,F
17,27,2006,NA
16,45,2008,F
17,9,2009,M
17,0,2009,F
15,0,2009,F
17,11,2007,NA
17,49,2007,F
18,8,2006,F
19,7,2006,F
17,0,2008,F
16,10,2008,F
16,19,2009,F
18,24,2007,M
17,0,2007,NA
17,39,2006,F
18,0,2006,F
15,11,2009,F
17,0,2007,NA
17,28,2008,M
16,24,2009,F
17,35,2008,F
18,11,2006,F
17,49,2007,F
19,5,2006,M
15,0,2009,NA
17,34,2008,F
17,0,2007,NA
16,21,2008,F
17,5,2007,F
17,55,2007,NA
16,20,2008,F
18,3,2007,F
17,0,2007,F
19,43,2006,M
16,24,2008,F
17,14,2007,F
15,164,2009,F
15,47,2009,F
17,6,2007,F
17,172,2008,F
18,52,2007,F
17,17,2007,F
18,13,2006,F
17,0,2009,F
16,38,2009,F
18,0,2006,NA
17,76,2007,F
16,2,2009,F
15,34,2009,F
18,67,2006,F
18,37,2006,F
15,0,2009,F
18,84,2006,F
17,31,2007,NA
16,17,2009,F
15,70,2009,F
17,0,2007,F
16,5,2008,F
17,3,2007,F
17,8,2007,M
15,48,2009,F
16,34,2008,F
16,7,2008,M
17,2,2007,F
17,0,2006,NA
15,64,2009,F
16,10,2008,M
17,69,2007,F
17,22,2009,M
18,51,2006,F
16,45,2008,F
15,16,2009,F
16,2,2008,M
18,49,2007,M
17,0,2007,F
16,3,2008,F
15,48,2009,F
16,0,2008,F
15,12,2009,F
18,37,2006,F
17,0,2009,F
16,34,2008,M
19,9,2006,F
17,145,2007,F
15,3,2009,M
17,0,2007,M
17,16,2007,F
15,30,2009,F
16,0,2008,F
15,43,2009,F
17,0,2008,NA
17,56,2008,F
17,27,2008,F
15,12,2009,NA
16,33,2008,NA
16,48,2008,F
15,0,2009,F
16,31,2009,F
17,124,2008,F
17,29,2007,M
17,2,2006,NA
18,13,2006,M
16,5,2009,F
16,20,2008,F
15,33,2009,F
17,32,2008,F
19,34,2006,F
18,5,2006,F
17,29,2009,F
18,33,2006,F
15,2,2009,F
17,87,2008,NA
18,26,2006,F
18,8,2006,F
15,0,2009,F
16,21,2009,F
15,23,2009,F
15,102,2009,F
17,11,2008,F
15,12,2009,F
18,31,2007,M
45,35,2008,F
15,66,2009,F
17,95,2007,F
16,101,2008,F
17,0,2007,M
15,2,2009,F
17,11,2006,NA
15,46,2009,F
17,18,2008,F
16,27,2008,F
17,60,2009,NA
15,11,2009,F
16,42,2009,F
17,7,2007,F
18,12,2006,M
17,6,2006,M
19,61,2006,F
17,17,2007,F
15,11,2009,F
15,23,2009,F
17,52,2009,F
17,6,2008,F
16,96,2009,M
17,155,2008,F
15,90,2009,F
17,97,2007,F
16,17,2008,F
18,77,2006,F
18,30,2006,M
17,39,2007,F
17,95,2007,F
17,6,2007,F
17,0,2007,F
16,9,2008,M
17,14,2009,NA
18,6,2006,F
17,3,2007,F
15,31,2009,F
16,65,2008,F
15,100,2009,F
15,79,2009,F
16,3,2008,F
18,3,2006,F
16,8,2009,F
15,39,2009,F
19,1,2006,M
18,0,2006,F
19,27,2006,M
18,76,2007,F
16,0,2008,F
15,99,2009,F
19,88,2006,NA
18,0,2006,F
16,11,2008,F
16,4,2008,F
16,55,2008,NA
16,22,2009,M
19,42,2006,F
15,61,2009,F
18,17,2007,F
18,17,2006,F
16,3,2009,M
15,0,2009,F
18,0,2006,M
18,22,2006,M
17,7,2009,NA
17,45,2009,F
16,141,2008,M
15,220,2009,F
15,42,2009,F
17,19,2007,M
15,54,2009,F
16,44,2008,F
16,66,2009,M
18,0,2006,F
17,19,2007,F
18,15,2007,F
17,39,2007,F
17,24,2007,F
17,59,2009,F
19,4,2006,F
18,92,2006,M
17,0,2008,NA
15,38,2009,F
17,51,2007,F
18,80,2006,F
18,9,2006,F
17,11,2007,F
17,65,2007,F
17,71,2008,NA
17,39,2008,F
16,100,2009,F
17,54,2007,F
17,12,2007,F
17,110,2008,F
19,16,2006,F
17,6,2008,M
18,29,2006,F
17,7,2008,F
15,40,2009,F
17,184,2008,NA
18,46,2007,F
17,0,2007,M
18,13,2006,F
17,146,2007,F
17,0,2006,F
18,61,2006,F
17,7,2009,M
18,12,2006,F
17,0,2007,F
18,124,2006,F
18,0,2006,F
17,70,2007,NA
16,5,2008,M
17,24,2007,F
15,0,2009,F
19,19,2006,M
15,41,2009,F
14,0,2009,F
17,0,2008,F
105,31,2009,F
16,71,2008,F
18,142,2006,F
17,0,2006,F
17,5,2007,M
17,15,2009,F
18,0,2007,NA
18,48,2006,NA
16,69,2008,F
17,40,2007,F
17,0,2008,NA
15,11,2008,F
15,120,2009,F
18,6,2006,F
18,37,2007,M
18,0,2006,M
17,3,2008,M
18,0,2007,F
17,39,2008,F
17,13,2008,F
16,30,2008,F
18,42,2006,F
15,60,2009,M
16,9,2009,F
15,12,2009,F
15,0,2009,F
15,72,2009,F
18,34,2006,F
17,57,2008,F
19,0,2007,F
18,15,2006,F
18,29,2006,F
16,0,2008,F
17,91,2008,F
19,0,2006,F
17,0,2008,F
19,11,2006,F
18,31,2007,F
17,18,2008,F
18,14,2007,F
17,59,2006,F
18,0,2006,F
17,14,2008,F
18,60,2006,F
17,55,2006,F
16,31,2009,M
103,70,2009,F
18,15,2006,M
17,28,2008,NA
17,35,2009,F
17,7,2006,M
18,6,2006,F
18,36,2007,F
18,22,2007,F
15,7,2009,F
18,10,2006,M
17,0,2006,F
16,28,2009,F
17,56,2008,NA
17,2,2008,M
18,16,2006,M
17,31,2007,F
16,15,2008,F
18,2,2006,M
18,23,2006,F
18,0,2006,F
18,82,2006,F
17,3,2007,F
17,0,2006,NA
15,9,2009,F
18,3,2007,F
15,10,2009,F
17,26,2008,F
18,3,2006,F
17,30,2007,F
17,207,2007,F
17,0,2009,F
17,0,2008,F
17,84,2009,F
17,16,2007,F
18,52,2006,F
17,0,2009,NA
17,109,2008,M
16,0,2009,F
17,0,2008,F
18,33,2007,F
18,13,2006,M
15,0,2009,F
16,19,2008,NA
